"cropYear","Date","Price","MarginCents","MaxPrice","Margin","PriceWithMargin","PercentSold"
"2015-16",2016-03-21,3.69,0.18,3.95,0.44,4.13,"17.5"
"2015-16",2016-03-21,3.69,0.18,3.95,0.44,4.13,"5"
"2015-16",2016-06-15,4.29,0.19,4.38,0.28,4.57,"10"
"2015-16",2016-06-20,4.21,0.19,4.21,0.19,4.4,"17.5"
"2015-16",2016-06-21,3.96,0.19,3.96,0.19,4.15,"17.5"
"2016-17",2016-06-20,4.34,0.19,4.34,0.19,4.53,"10"
"2016-17",2017-02-14,3.74,0.14,3.79,0.19,3.93,"10"
"2016-17",2017-03-10,3.58,0.14,3.63,0.19,3.77,"20"
"2016-17",2017-03-20,3.63,0.14,3.71,0.22,3.85,"10"
"2016-17",2017-03-20,3.63,0.14,3.71,0.22,3.85,"10"
"2016-17",2017-06-12,3.77,0.15,3.92,0.3,4.07,"20"
"2016-17",2017-06-20,3.7,0.15,3.92,0.37,4.07,"20"
